weeks,avg_weekly_pos_score,avg_weekly_neg_score
2000-01-03,0.07024729279799855,0.05287224339014329
2000-01-10,0.06281458399381007,0.05384444699177847
2000-01-17,0.0634527554357368,0.04933334207303675
2000-01-24,0.06066448576255691,0.05290383146372968
2000-01-31,0.06054164964825767,0.04586589205871771
2000-02-07,0.054677308967894425,0.04601182491217258
2000-02-14,0.061131128486124495,0.05343808256216642
2000-02-21,0.06566003526530897,0.05122654937243211
2000-02-28,0.07458787733738932,0.055969809818759035
2000-03-06,0.06833590615822341,0.04952850644790619
2000-03-13,0.06580735673315033,0.05210620536876935
2000-03-20,0.06904687262627987,0.04800574116423373
2000-03-27,0.053755413540143446,0.051072606329622405
2000-04-03,0.06111229843627922,0.048785160300744264
2000-04-10,0.06234630664425351,0.052237812713435805
2000-04-17,0.06617292050200903,0.052761926542425445
2000-04-24,0.06800580425979656,0.05316784850995446
2000-05-01,0.06650982729148777,0.05642643480699561
2000-05-08,0.060974896477439276,0.05100336046422595
2000-05-15,0.0662982532318846,0.051570279974577256
2000-05-22,0.06534980600627416,0.04704177992440645
2000-05-29,0.06127822584297244,0.05231920718950268
2000-06-05,0.06370805630527925,0.05554212270861133
2000-06-12,0.058974405795276616,0.05439484817401709
2000-06-19,0.06629901688250671,0.04940251268461657
2000-06-26,0.06268486780413239,0.04944242230745185
2000-07-03,0.06293064234915804,0.058188232618654794
2000-07-10,0.06604026313594215,0.05380512651392562
2000-07-17,0.06232303961958994,0.05156677091429289
2000-07-24,0.060407970280361344,0.051994038312156814
2000-07-31,0.062301235921771336,0.05389696116699226
2000-08-07,0.058794113406062005,0.05481934723518082
2000-08-14,0.06006220637339548,0.05649079270509314
2000-08-21,0.05724301395274909,0.047586113092296746
2000-08-28,0.06783032201039797,0.05501873600353896
2000-09-04,0.05410941850454659,0.05137335425226179
2000-09-11,0.06773367293619152,0.05819293991462176
2000-09-18,0.06715697542292284,0.05625874896375521
2000-09-25,0.06386899255108319,0.05799794500101283
2000-10-02,0.056913386093087465,0.05359057311464895
2000-10-09,0.06164611544787192,0.044316323037876235
2000-10-16,0.0641947970284325,0.05674603375450924
2000-10-23,0.06458557083716947,0.05584532540539739
2000-10-30,0.06024704521336295,0.05219720346917796
2000-11-06,0.06725569161348031,0.048941031635492294
2000-11-13,0.07279116019209018,0.05629559753725034
2000-11-20,0.05929030246321796,0.05100901654803116
2000-11-27,0.06089878600636015,0.059725937904662726
2000-12-04,0.07230742952299922,0.05192364043857854
2000-12-11,0.06292649038128215,0.05438436368439193
2000-12-18,0.05756199869134255,0.0559789036546078
2000-12-25,0.05755042677912388,0.056104982589623875
2001-01-01,0.06290417220042024,0.0627329717935639
2001-01-08,0.06332472692628309,0.05587111459342777
2001-01-15,0.058395947765252566,0.04897506197919905
2001-01-22,0.06066459821438205,0.05256338519707188
2001-01-29,0.05899829469882617,0.05578885683335289
2001-02-05,0.061349148694063604,0.05191666166519329
2001-02-12,0.06105057009481814,0.05980068116030777
2001-02-19,0.06206239276401148,0.06159754385608359
2001-02-26,0.06503704160625012,0.05424957183708889
2001-03-05,0.06379741961568439,0.05604967226983044
2001-03-12,0.06188977748149925,0.06350837585423862
2001-03-19,0.06618605640773886,0.057015201616944414
2001-03-26,0.06077976338716361,0.058969208808584715
2001-04-02,0.06307182211810237,0.058479146863353
2001-04-09,0.06237055446881263,0.05157669391948505
2001-04-16,0.060778237830527965,0.05631109113364197
2001-04-23,0.06148357350894073,0.056621391579591514
2001-04-30,0.0647449203042395,0.05655760016842095
2001-05-07,0.06476274004636873,0.049786066391210373
2001-05-14,0.06166262445200302,0.050900576238029564
2001-05-21,0.059187796697999485,0.050193305587564074
2001-05-28,0.0661872162208794,0.052429856707948745
2001-06-04,0.06801705391310707,0.051928061337971475
2001-06-11,0.06983105989922934,0.05695371994493211
2001-06-18,0.06543151939706277,0.052840043659363956
2001-06-25,0.06127755421450175,0.06247360624658694
2001-07-02,0.061727533352386316,0.05251203778593099
2001-07-09,0.06043482580804844,0.05491348583578362
2001-07-16,0.06165744537812218,0.05506570192944014
2001-07-23,0.06267722661472312,0.05680686354839341
2001-07-30,0.059707745138595905,0.05332294622868612
2001-08-06,0.057633501767474414,0.05520299691320439
2001-08-13,0.06825166672238357,0.051017259519883056
2001-08-20,0.05968099838559079,0.05905322265595344
2001-08-27,0.0617855502323305,0.05731000667867958
2001-09-03,0.06033313454510981,0.06214757949418086
2001-09-10,0.05905074757692656,0.0664501757936406
2001-09-17,0.0562597058308915,0.058933858291638656
2001-09-24,0.05904274627486638,0.06024304614819405
2001-10-01,0.06638971800168161,0.05661604229989872
2001-10-08,0.06437738797054604,0.0577577324012607
2001-10-15,0.059111280556676304,0.057386866776802804
2001-10-22,0.06008575497023006,0.05475980399828255
2001-10-29,0.06644750171109913,0.05448451217414458
2001-11-05,0.05882806128204971,0.04911450235689313
2001-11-12,0.0636177211688079,0.053087920244867325
2001-11-19,0.06349715982502095,0.04988130056987536
2001-11-26,0.06364554413963523,0.05455641608990119
2001-12-03,0.06452366980434514,0.06125111053471565
2001-12-10,0.06402019733376718,0.05516754658503246
2001-12-17,0.06451942634166039,0.054798231532905986
2001-12-24,0.05566278099595591,0.05558081254391293
2001-12-31,0.06155621890444052,0.05004122773505839
2002-01-07,0.0626788945460152,0.049580674802740074
2002-01-14,0.05985737962734466,0.053463740236117045
2002-01-21,0.06270801222061491,0.052181886210119655
2002-01-28,0.05956450222997013,0.05447901631391172
2002-02-04,0.06164588887649933,0.051503702911773634
