weeks,avg_weekly_pos_score,avg_weekly_neg_score
2000-01-03,0.3333333333333333,0.3541666666666667
2000-01-10,0.51875,0.14375
2000-01-17,0.4791666666666667,0.1597222222222222
2000-01-24,0.20833333333333334,0.4166666666666667
2000-01-31,0.4375,0.21875
2000-02-07,0.0,0.0
2000-02-14,0.21875,0.4739583333333333
2000-02-21,0.16666666666666666,0.5208333333333334
2000-02-28,0.5208333333333334,0.125
2000-03-06,0.578125,0.0625
2000-03-13,0.3635912698412698,0.30357142857142855
2000-03-20,0.4375,0.23611111111111113
2000-03-27,0.6,0.0875
2000-04-03,0.0,0.0
2000-04-10,0.375,0.25
2000-04-17,0.40625,0.234375
2000-04-24,0.38392857142857145,0.2604166666666667
2000-05-01,0.325,0.3
2000-05-08,0.425,0.15
2000-05-15,0.375,0.375
2000-05-22,0.28125,0.4375
2000-05-29,0.30208333333333337,0.29166666666666663
2000-06-05,0.4583333333333333,0.16666666666666666
2000-06-12,0.4583333333333333,0.18229166666666669
2000-06-19,0.09375,0.5
2000-06-26,0.3715,0.2743333333333333
2000-07-03,0.25,0.28125
2000-07-10,0.20833333333333331,0.4
2000-07-17,0.38809523809523805,0.22321428571428573
2000-07-24,0.375,0.1875
2000-07-31,0.40625,0.21428571428571427
2000-08-07,0.40972222222222227,0.23611111111111108
2000-08-14,0.3398809523809524,0.3416666666666667
2000-08-21,0.5625,0.125
2000-08-28,0.23611111111111108,0.37152777777777773
2000-09-04,0.38988095238095244,0.2916666666666667
2000-09-11,0.4291666666666666,0.135
2000-09-18,0.29062499999999997,0.3140625
2000-09-25,0.5104166666666666,0.14583333333333334
2000-10-02,0.23958333333333334,0.4270833333333333
2000-10-09,0.0,0.625
2000-10-16,0.328125,0.421875
2000-10-23,0.19097222222222224,0.4270833333333333
2000-10-30,0.0,0.75
2000-11-06,0.5,0.125
2000-11-13,0.125,0.5
2000-11-20,0.4166666666666667,0.20833333333333334
2000-11-27,0.3125,0.25
2000-12-04,0.415625,0.31875
2000-12-11,0.203125,0.4895833333333333
2000-12-18,0.1875,0.5625
2000-12-25,0.2,0.484375
2001-01-01,0.40625,0.15625
2001-01-08,0.0,0.625
2001-01-15,0.25,0.375
2001-01-22,0.3229166666666667,0.3020833333333333
2001-01-29,0.296875,0.4375
2001-02-05,0.4375,0.375
2001-02-12,0.2743055555555556,0.3125
2001-02-19,0.041666666666666664,0.6805555555555555
2001-02-26,0.5208333333333334,0.16666666666666669
2001-03-05,0.125,0.75
2001-03-12,0.4444444444444444,0.1736111111111111
2001-03-19,0.20833333333333334,0.375
2001-03-26,0.875,0.0
2001-04-02,0.19791666666666666,0.375
2001-04-09,0.22395833333333334,0.3958333333333333
2001-04-16,0.43125,0.128125
2001-04-23,0.17916666666666667,0.5083333333333333
2001-04-30,0.6979166666666667,0.05208333333333333
2001-05-07,0.3875,0.3583333333333333
2001-05-14,0.125,0.875
2001-05-21,0.34375,0.2760416666666667
2001-05-28,0.125,0.4375
2001-06-04,0.3354166666666667,0.2902777777777778
2001-06-11,0.2604166666666667,0.3802083333333333
2001-06-18,0.33333333333333337,0.33333333333333337
2001-06-25,0.1708333333333333,0.3958333333333333
2001-07-02,0.16666666666666666,0.48611111111111116
2001-07-09,0.3125,0.375
2001-07-16,0.25,0.625
2001-07-23,0.09226190476190477,0.5833333333333333
2001-07-30,0.0,0.0
2001-08-06,0.44791666666666663,0.22916666666666666
2001-08-13,0.28125,0.40625
2001-08-20,0.34114583333333337,0.3307291666666667
2001-08-27,0.125,0.475
2001-09-03,0.20833333333333334,0.3125
2001-09-10,0.625,0.125
2001-09-17,0.08854166666666666,0.484375
2001-09-24,0.2986111111111111,0.34722222222222215
2001-10-01,0.175,0.35
2001-10-08,0.625,0.0
2001-10-15,0.25,0.4583333333333333
2001-10-22,0.5625,0.25
2001-10-29,0.34375,0.34375
2001-11-05,0.35416666666666663,0.2916666666666667
2001-11-12,0.0,0.0
2001-11-19,0.3125,0.3125
2001-11-26,0.75,0.0
2001-12-03,0.3020833333333333,0.28541666666666665
2001-12-10,0.1875,0.5625
2001-12-17,0.2916666666666667,0.33333333333333337
2001-12-24,0.375,0.15625
2001-12-31,0.21875,0.375
2002-01-07,0.25,0.5
2002-01-14,0.4,0.30625
2002-01-21,0.4722222222222222,0.08333333333333333
2002-01-28,0.3263888888888889,0.3680555555555556
2002-02-04,0.5625,0.125
2002-02-11,0.314484126984127,0.2400793650793651
2002-02-18,0.171875,0.5399305555555556
2002-02-25,0.16964285714285715,0.4107142857142857
2002-03-04,0.328125,0.296875
2002-03-11,0.16666666666666666,0.48611111111111116
2002-03-18,0.5,0.15625
2002-03-25,0.40625,0.28125
2002-04-01,0.0,0.0
2002-04-08,0.6033333333333333,0.10666666666666666
2002-04-15,0.2723214285714286,0.36309523809523814
2002-04-22,0.16666666666666666,0.47916666666666663
2002-04-29,0.20833333333333334,0.5069444444444444
2002-05-06,0.3125,0.325
2002-05-13,0.5714285714285714,0.16964285714285715
2002-05-20,0.0,0.0
2002-05-27,0.109375,0.59375
2002-06-03,0.40625,0.3125
2002-06-10,0.375,0.22395833333333331
2002-06-17,0.19791666666666666,0.4947916666666667
2002-06-24,0.2720959595959596,0.42550505050505044
2002-07-01,0.109375,0.5364583333333334
2002-07-08,0.4583333333333333,0.27777777777777773
2002-07-15,0.3680555555555556,0.2951388888888889
2002-07-22,0.17983333333333332,0.4312777777777778
2002-07-29,0.21875,0.5
2002-08-05,0.28125,0.40625
2002-08-12,0.5277777777777778,0.1111111111111111
